Variant_Number,Product_Title,Handle,SKU,Current_Image_URL,Real_Shopify_URL,Image_Filename,Notes
1,nordica enforcer 99,nordica-enforcer-99,nordica-enforcer-99-173;179;185;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_001.jpg?v=1748986989,,product_001.jpg,
2,nordica enforcer 94,nordica-enforcer-94,nordica-enforcer-94-173;179;185;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_002.jpg?v=1748986989,,product_002.jpg,
3,Völkl V.Werks 100,völkl-vwerks-100,völkl-vwerks-100-179;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_003.jpg?v=1748986989,,product_003.jpg,
4,Völkl Revolt Urban Junior + Marker 4.5 vMotion JR GW,völkl-revolt-urban-junior-marker-45-vmotion-jr-gw,völkl-revolt-urban-junior-marker-45-vmotion-jr-gw-118;128,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_004.jpg?v=1748986989,,product_004.jpg,
5,Völkl Peregrine 82 inkl. LowRide XL 13 FR GW,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-172;177;182;167,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_005.jpg?v=1748986989,,product_005.jpg,
6,Völkl Peregrine 80 inkl LowRide TCX 12 GW,völkl-peregrine-80-inkl-lowride-tcx-12-gw,völkl-peregrine-80-inkl-lowride-tcx-12-gw-167;172;177;162;182,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_006.jpg?v=1748986989,,product_006.jpg,
7,Völkl Peregrine 76 Master w/WC-PC + Marker Comp 16 GW,völkl-peregrine-76-master-wwc-pc-marker-comp-16-gw,völkl-peregrine-76-master-wwc-pc-marker-comp-16-gw-176;181,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_007.jpg?v=1748986989,,product_007.jpg,
8,Völkl Mini Revolt Junior + Marker 4.5 vMotion JR,völkl-mini-revolt-junior-marker-45-vmotion-jr,völkl-mini-revolt-junior-marker-45-vmotion-jr-88;98;108,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_008.jpg?v=1748986989,,product_008.jpg,
9,Völkl Mantra M7,völkl-mantra-m7,völkl-mantra-m7-163;170;177;184;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_009.jpg?v=1748986989,,product_009.jpg,
10,Völkl Mantra Junior,völkl-mantra-junior,völkl-mantra-junior-118;128,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_010.jpg?v=1748986989,,product_010.jpg,
11,Völkl Mantra 88,völkl-mantra-88,völkl-mantra-88-170;177;184,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_011.jpg?v=1748986989,,product_011.jpg,
12,Völkl Flair 76 VMotion1 + VMotion 10,völkl-flair-76-vmotion1-vmotion-10,völkl-flair-76-vmotion1-vmotion-10-147;154;161,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_012.jpg?v=1748986989,,product_012.jpg,
13,Völkl Blaze Jr inkl. 7.0 vMotion JR,völkl-blaze-jr-inkl-70-vmotion-jr,völkl-blaze-jr-inkl-70-vmotion-jr-138;148;158,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_013.jpg?v=1748986989,,product_013.jpg,
14,Völkl Blaze 94 Black,völkl-blaze-94-black,völkl-blaze-94-black-172;179;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_014.jpg?v=1748986989,,product_014.jpg,
15,Völkl Blaze 86 FDT Free + FDT TP 10 ,völkl-blaze-86-fdt-free-fdt-tp-10,völkl-blaze-86-fdt-free-fdt-tp-10-159;166;173,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_015.jpg?v=1748986989,,product_015.jpg,
16,Völkl Blaze 114,völkl-blaze-114,völkl-blaze-114-176;184;191;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_016.jpg?v=1748986989,,product_016.jpg,
17,Völkl Blaze 104 Purple,völkl-blaze-104-purple,völkl-blaze-104-purple-172;179;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_017.jpg?v=1748986989,,product_017.jpg,
18,Van Deer PRO RS 183 R22 WC + SPX 15 ,van-deer-pro-rs-183-r22-wc-spx-15,van-deer-pro-rs-183-r22-wc-spx-15-183,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_018.jpg?v=1748986989,,product_018.jpg,
19,Van Deer H-Power R22 WC + SPX 12 GW,van-deer-h-power-r22-wc-spx-12-gw,van-deer-h-power-r22-wc-spx-12-gw-168;175;182,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_019.jpg?v=1748986989,,product_019.jpg,
20,Van Deer Freeride 98,van-deer-freeride-98,van-deer-freeride-98-172;180;188,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_020.jpg?v=1748986989,,product_020.jpg,
21,Stöckli Stormrider 95,stöckli-stormrider-95,stöckli-stormrider-95-170;176;182;188,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_021.jpg?v=1748986989,,product_021.jpg,
22,Stöckli Stormrider 88,stöckli-stormrider-88,stöckli-stormrider-88-166;175;184,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_022.jpg?v=1748986989,,product_022.jpg,
23,Stöckli Nela 96,stöckli-nela-96,stöckli-nela-96-156;164;172,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_023.jpg?v=1748986989,,product_023.jpg,
24,Stöckli Nela 88,stöckli-nela-88,stöckli-nela-88-152;160;168,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_024.jpg?v=1748986989,,product_024.jpg,
25,Stöckli Montero AX Orea + Strive 13,stöckli-montero-ax-orea-strive-13,stöckli-montero-ax-orea-strive-13-163;168;173;178;183,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_025.jpg?v=1748986989,,product_025.jpg,
26,Stöckli Montero AX + Strive 13,stöckli-montero-ax-strive-13,stöckli-montero-ax-strive-13-163;168;173;178;183,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_026.jpg?v=1748986989,,product_026.jpg,
27,Stöckli Montero AW inkl. Strive 11,stöckli-montero-aw-inkl-strive-11,stöckli-montero-aw-inkl-strive-11-150;158;166,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_027.jpg?v=1748986989,,product_027.jpg,
28,Stöckli Montero AR + Strive 13,stöckli-montero-ar-strive-13,stöckli-montero-ar-strive-13-165;170;175;180;185,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_028.jpg?v=1748986989,,product_028.jpg,
29,Stöckli Laser WRT Pro MO EDT + WRT16,stöckli-laser-wrt-pro-mo-edt-wrt16,stöckli-laser-wrt-pro-mo-edt-wrt16-166;172;178,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_029.jpg?v=1748986989,,product_029.jpg,
30,Stöckli Laser WRT Pro + WRT 12 GW,stöckli-laser-wrt-pro-wrt-12-gw,stöckli-laser-wrt-pro-wrt-12-gw-158;166;172;178,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_030.jpg?v=1748986989,,product_030.jpg,
31,Stöckli Laser WRT + WRT 12 GW,stöckli-laser-wrt-wrt-12-gw,stöckli-laser-wrt-wrt-12-gw-158;166;172;178,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_031.jpg?v=1748986989,,product_031.jpg,
32,Stöckli Laser SC Orea inkl. SRT12 SP,stöckli-laser-sc-orea-inkl-srt12-sp,stöckli-laser-sc-orea-inkl-srt12-sp-163;170;177;156,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_032.jpg?v=1748986989,,product_032.jpg,
33,Stöckli Laser MX,stöckli-laser-mx,stöckli-laser-mx-152;158;164,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_033.jpg?v=1748986989,,product_033.jpg,
34,Scott Sea 108,scott-sea-108,scott-sea-108-168;176;184;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_034.jpg?v=1748986989,,product_034.jpg,
35,Scott Pure 100 Tour,scott-pure-100-tour,scott-pure-100-tour-170;178,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_035.jpg?v=1748986989,,product_035.jpg,
36,Scott Explorair 92 LT,scott-explorair-92-lt,scott-explorair-92-lt-163;172;181,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_036.jpg?v=1748986989,,product_036.jpg,
37,Salomon S/LAB QST Echo,salomon-slab-qst-echo,salomon-slab-qst-echo-173,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_037.jpg?v=1748986989,,product_037.jpg,
38,Salomon S/LAB QST Blank,salomon-slab-qst-blank,salomon-slab-qst-blank-178;186;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_038.jpg?v=1748986989,,product_038.jpg,
39,Salomon QST X,salomon-qst-x,salomon-qst-x-176;178;184;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_039.jpg?v=1748986989,,product_039.jpg,
40,Salomon QST Stella 106,salomon-qst-stella-106,salomon-qst-stella-106-157;165;173,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_040.jpg?v=1748986989,,product_040.jpg,
41,Salomon QST Lux 92,salomon-qst-lux-92,salomon-qst-lux-92-152;160;168,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_041.jpg?v=1748986989,,product_041.jpg,
42,Salomon QST BLANK Team,salomon-qst-blank-team,salomon-qst-blank-team-128;137;146;152,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_042.jpg?v=1748986989,,product_042.jpg,
43,Salomon QST 106,salomon-qst-106,salomon-qst-106-173;181;189,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_043.jpg?v=1748986989,,product_043.jpg,
44,Salomon QST 100 Iceberg Green,salomon-qst-100-iceberg-green,salomon-qst-100-iceberg-green-164;172;180,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_044.jpg?v=1748986989,,product_044.jpg,
45,Salomon QST 100 Cosmic Sky,salomon-qst-100-cosmic-sky,salomon-qst-100-cosmic-sky-164;172;180;188,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_045.jpg?v=1748986989,,product_045.jpg,
46,Salomon MTN 96 Carbon,salomon-mtn-96-carbon,salomon-mtn-96-carbon-166;174;182;188,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_046.jpg?v=1748986989,,product_046.jpg,
47,Salomon MTN 86 W Carbon,salomon-mtn-86-w-carbon,salomon-mtn-86-w-carbon-156;164;172,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_047.jpg?v=1748986989,,product_047.jpg,
48,Salomon MTN 86 Carbon,salomon-mtn-86-carbon,salomon-mtn-86-carbon-172;180,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_048.jpg?v=1748986989,,product_048.jpg,
49,Salomon MTN 80 Carbon,salomon-mtn-80-carbon,salomon-mtn-80-carbon-164;170,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_049.jpg?v=1748986989,,product_049.jpg,
50,Salomon Départ 1.0,salomon-départ-10,salomon-départ-10-170;180,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_050.jpg?v=1748986989,,product_050.jpg,
51,Rossignol Super Blackops 98,rossignol-super-blackops-98,rossignol-super-blackops-98-172;182;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_051.jpg?v=1748986989,,product_051.jpg,
52,Rossignol Sender Soul 102,rossignol-sender-soul-102,rossignol-sender-soul-102-172;180;188,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_052.jpg?v=1748986989,,product_052.jpg,
53,Rossignol Sender Free 118,rossignol-sender-free-118,rossignol-sender-free-118-176;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_053.jpg?v=1748986989,,product_053.jpg,
54,Nordica Enforcer 99,nordica-enforcer-99,nordica-enforcer-99-173;179;185;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_054.jpg?v=1748986989,,product_054.jpg,
55,Nordica Enforcer 94,nordica-enforcer-94,nordica-enforcer-94-173;179,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_055.jpg?v=1748986989,,product_055.jpg,
56,Nordica Enforcer 89,nordica-enforcer-89,nordica-enforcer-89-173;179;185,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_056.jpg?v=1748986989,,product_056.jpg,
57,Nordica Dobermann SLR DC,nordica-dobermann-slr-dc,nordica-dobermann-slr-dc-160;165;170,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_057.jpg?v=1748986989,,product_057.jpg,
58,Nordica Belle SL DC,nordica-belle-sl-dc,nordica-belle-sl-dc-155;160,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_058.jpg?v=1748986989,,product_058.jpg,
59,Movement Session 95,movement-session-95,movement-session-95-154;162;170,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_059.jpg?v=1748986989,,product_059.jpg,
60,Movement Session 90,movement-session-90,movement-session-90-170;178;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_060.jpg?v=1748986989,,product_060.jpg,
61,Movement Alp Tracks 90,movement-alp-tracks-90,movement-alp-tracks-90-170;178;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_061.jpg?v=1748986989,,product_061.jpg,
62,Line pandora 99,line-pandora-99,line-pandora-99-163;170;177;184,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_062.jpg?v=1748986989,,product_062.jpg,
63,Line pandora 92,line-pandora-92,line-pandora-92-154;161;168,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_063.jpg?v=1748986989,,product_063.jpg,
64,Line Vision 96 Camo,line-vision-96-camo,line-vision-96-camo-172;178;184;170;177,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_064.jpg?v=1748986989,,product_064.jpg,
65,Line Vision 114 Camo,line-vision-114-camo,line-vision-114-camo-183,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_065.jpg?v=1748986989,,product_065.jpg,
66,Line Sakana 105,line-sakana-105,line-sakana-105-174;181,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_066.jpg?v=1748986989,,product_066.jpg,
67,Line Pandora 106,line-pandora-106,line-pandora-106-176;183;189,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_067.jpg?v=1748986989,,product_067.jpg,
68,Line Optic 96,line-optic-96,line-optic-96-170;177;184,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_068.jpg?v=1748986989,,product_068.jpg,
69,Line Chronic 94,line-chronic-94,line-chronic-94-164;171;178;185,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_069.jpg?v=1748986989,,product_069.jpg,
70,Line Blend,line-blend,line-blend-171;178;185,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_070.jpg?v=1748986989,,product_070.jpg,
71,Line Blade Optic 114,line-blade-optic-114,line-blade-optic-114-186;192,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_071.jpg?v=1748986989,,product_071.jpg,
72,Line Bacon 108 24/25,line-bacon-108-2425,line-bacon-108-2425-178;184;190,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_072.jpg?v=1748986989,,product_072.jpg,
73,K2 Wayback 106 23/24,k2-wayback-106-2324,k2-wayback-106-2324-172;179;186,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_073.jpg?v=1748986989,,product_073.jpg,
74,K2 Reckoner KF 24/25,k2-reckoner-kf-2425,k2-reckoner-kf-2425-177;184;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_074.jpg?v=1748986989,,product_074.jpg,
75,K2 Reckoner 92 24/25,k2-reckoner-92-2425,k2-reckoner-92-2425-149;159;169,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_075.jpg?v=1748986989,,product_075.jpg,
76,"K2 Reckoner 110 24/25
",k2-reckoner-110-2425,k2-reckoner-110-2425-177;184;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_076.jpg?v=1748986989,,product_076.jpg,
77,K2 Omen 90 24/25,k2-omen-90-2425,k2-omen-90-2425-159;169;179,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_077.jpg?v=1748986989,,product_077.jpg,
78,K2 Mindbender 99 Ti W 23/24,k2-mindbender-99-ti-w-2324,k2-mindbender-99-ti-w-2324-160;166;172,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_078.jpg?v=1748986989,,product_078.jpg,
79,"K2 Mindbender 99 Ti 24/25
",k2-mindbender-99-ti-2425,k2-mindbender-99-ti-2425-172;178;184;190,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_079.jpg?v=1748986989,,product_079.jpg,
80,K2 Mindbender 116C 24/25,k2-mindbender-116c-2425,k2-mindbender-116c-2425-182;187;194,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_080.jpg?v=1748986989,,product_080.jpg,
81,K2 HI-FI + FDT 4.5 24/25,k2-hi-fi-fdt-45-2425,k2-hi-fi-fdt-45-2425-109;119;129,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_081.jpg?v=1748986989,,product_081.jpg,
82,Head Oblivion Jr 24/25,head-oblivion-jr-2425,head-oblivion-jr-2425-131;141;151;161,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_082.jpg?v=1748986989,,product_082.jpg,
83,Head Oblivion 94 24/25,head-oblivion-94-2425,head-oblivion-94-2425-170;177;184;163,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_083.jpg?v=1748986989,,product_083.jpg,
84,"Head Kore Tour 87 23/24

",head-kore-tour-87-2324,head-kore-tour-87-2324-177,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_084.jpg?v=1748986989,,product_084.jpg,
85,Head Kore 99 24/25,head-kore-99-2425,head-kore-99-2425-170;177;184;191,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_085.jpg?v=1748986989,,product_085.jpg,
86,Head Kore 97 Women 24/25,head-kore-97-women-2425,head-kore-97-women-2425-163;170;177,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_086.jpg?v=1748986989,,product_086.jpg,
87,Head Kore 91 Women 24/25,head-kore-91-women-2425,head-kore-91-women-2425-163;170;156,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_087.jpg?v=1748986989,,product_087.jpg,
88,Head Kore 85 Women 24/25,head-kore-85-women-2425,head-kore-85-women-2425-156;163;170,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/product_088.jpg?v=1748986989,,product_088.jpg,
